"Station","Facility","dist_km"
"SR055X","Skinner",104.852359702012
"SR057E","Skinner",108.31983809468
"SR060E","Skinner",113.62690623913
"SR062E","Skinner",116.655737163801
"SR071E","Skinner",129.966669092994
"SR080E","Skinner",67.6675483971546
"SS011N","Skinner",90.2700764231203
"SSC1","Skinner",88.7656423891895
"SSC51","Skinner",81.6513768137879
"SU1","Skinner",81.7238733087888
"SU2","Skinner",74.2491099756672
"SU3","Skinner",72.1907165621301
"SU4","Skinner",80.9629304288882
"SU6","Skinner",42.4920056399924
"TM001N","Skinner",81.3857233481569
"WL1","Skinner",80.9720609988373
"WL2","Skinner",57.5975793454824
"XC001N","Skinner",63.4268238512742
"072","TFCF",64.0780863839772
"073","TFCF",63.2665639641745
"18-19-CS03","TFCF",70.8843878399229
"18-20-GB01","TFCF",83.7740717570544
"18-23-LSSC03","TFCF",73.9773941036619
"18-23-SM01","TFCF",75.2575713720042
"18-24-SM01","TFCF",77.5607937104677
"18-25-SM01","TFCF",84.1359882313005
"18-26-LSSC01","TFCF",76.009331412074
"18-26-SM02","TFCF",48.9745929674772
"18-27-LSR01","TFCF",49.5761376441864
"18-29-RV02","TFCF",46.6746172531727
"18-30-LSR01","TFCF",95.2577911285644
"18-31-USSC01","TFCF",88.6321432584904
"18-33-LSSC03","TFCF",74.2483744824439
"18-33-SM03","TFCF",46.2420321915379
"18-34-LSR02","TFCF",88.1556503658598
"18-34-LSSC02","TFCF",74.1432332852375
"19-19-LSSC03","TFCF",48.193382579501
"19-20-LSR02","TFCF",86.168661032935
"19-20-LSSC03","TFCF",84.1402749999507
"19-21-LSSC02","TFCF",89.988442218056
"19-22-LSSC01","TFCF",71.8995948659276
"19-22-LSSC02","TFCF",75.0899042827937
"19-22-SM02","TFCF",70.863689489893
"19-22-SM04","TFCF",66.7712784789343
"19-23-LSSC02","TFCF",46.9726630396177
"19-24-LSR01","TFCF",82.4873273196258
"19-24-SM02","TFCF",49.9191314061169
"19-25-LSR01","TFCF",46.8574773186953
"19-25-LSR02","TFCF",87.2612083552598
"19-25-LSSC02","TFCF",74.4137828220646
"19-25-LSSC03","TFCF",67.281330027545
"19-26-LSSC03","TFCF",63.5853081006481
"19-27-CS02","TFCF",58.5422439748294
"19-27-HB01","TFCF",60.285927639153
"19-27-LSSC01","TFCF",64.6757751339898
"19-27-LSSC02","TFCF",75.7140491379064
"19-27-LSSC03","TFCF",48.7470373078308
"19-27-RV01","TFCF",38.0325297022559
"19-27-SJT03","TFCF",69.7513577713362
"19-27-SM03","TFCF",92.0450599938795
"19-27-USSC01","TFCF",74.5763014587551
"19-28-SM02","TFCF",45.73669825353
"19-29-LSR01","TFCF",82.3385306727993
"19-29-LSSC02","TFCF",73.4211759744595
"19-29-LSSC03","TFCF",74.2213829955759
"19-30-SBW01","TFCF",66.5549859481168
"19-31-LSSC01","TFCF",61.6181031639673
"20-19-SBM02","TFCF",77.626083114792
"20-20-LSSC03","TFCF",74.4741022344388
"20-21-LSSC02","TFCF",69.2395305850102
"20-21-SM01","TFCF",46.475902638909
"20-22-LSR02","TFCF",48.4006707310636
"20-25-LSR03","TFCF",57.5428914975281
"20-25-SM01","TFCF",49.3889908100198
"20-26-LSR03","TFCF",66.0759296546803
"20-29-SBM02","TFCF",80.366177283539
"20-30-LSSC02","TFCF",84.3565675307682
"20-32-LSSC03","TFCF",78.6643734311071
"20-34-LSSC02","TFCF",95.1931849475397
"21-24-USSC01","TFCF",99.9228535009906
"315","TFCF",103.503184944226
"317","TFCF",96.4162371578259
"318","TFCF",90.3043183024758
"319","TFCF",92.4506535686929
"320","TFCF",97.0179080252305
"321","TFCF",101.013751376291
"322","TFCF",103.996341799608
"323","TFCF",90.4793403239215
"325","TFCF",97.1292378194544
"327","TFCF",95.064477348285
"328","TFCF",91.4719471715283
"329","TFCF",99.300127362397
"331","TFCF",94.9790466265418
"334","TFCF",93.4271534861875
"335","TFCF",89.0880117219287
"336","TFCF",88.393450660767
"337","TFCF",86.3507333353837
"338","TFCF",87.3504427338454
"339","TFCF",89.9190661565761
"340","TFCF",93.7484610234894
"341","TFCF",90.9101497478434
"346","TFCF",83.0491463942175
"401","TFCF",79.1183400661367
"403","TFCF",79.6041419892915
"404","TFCF",76.677331828323
"405","TFCF",77.55064464694
"406","TFCF",75.3206020268019
"408","TFCF",72.9017631254624
"409","TFCF",70.0342322323771
"411","TFCF",68.5023019488288
"412","TFCF",67.4754009520183
"413","TFCF",73.009972486215
"414","TFCF",72.4678332680693
"415","TFCF",71.7488963907621
"416","TFCF",71.2858731066182
"417","TFCF",70.7471589732131
"418","TFCF",77.3590325835339
"427","TFCF",72.3403965437331
"428","TFCF",70.9742315209996
"429","TFCF",70.1352651214825
"430","TFCF",67.8131200707028
"431","TFCF",73.1448164126741
"432","TFCF",61.555398811343
"433","TFCF",79.988837102549
"447","TFCF",65.9680249451953
"501","TFCF",63.3939484186363
"502","TFCF",61.5907331050374
"503","TFCF",61.4576648162925
"504","TFCF",59.0826075552619
"505","TFCF",57.3661677591632
"507","TFCF",55.214631770492
"508","TFCF",53.9928720861167
"509","TFCF",52.9831181639084
"510","TFCF",52.4219300427598
"511","TFCF",52.1617296809475
"512","TFCF",51.4510616896746
"513","TFCF",49.7195551079536
"514","TFCF",65.8629360179167
"515","TFCF",63.4034359097415
"516","TFCF",61.7212902628465
"517","TFCF",60.6847755842447
"518","TFCF",60.1775398178379
"519","TFCF",49.7801269017031
"520","TFCF",59.7699398748827
"534","TFCF",55.2749511828669
"535","TFCF",68.1836100822501
"601","TFCF",69.6772640992125
"602","TFCF",69.8771450486516
"603","TFCF",70.9560965718031
"604","TFCF",73.6240511667163
"605","TFCF",77.5776361338078
"606","TFCF",55.257551726889
"608","TFCF",69.2102586976811
"609","TFCF",59.8304377478344
"610","TFCF",48.9467920665927
"701","TFCF",46.9572916027298
"702","TFCF",46.1150263091547
"703","TFCF",46.5266083694924
"704","TFCF",48.8226019664159
"705","TFCF",50.0739381893901
"706","TFCF",46.3948848765011
"707","TFCF",47.5863325290532
"708","TFCF",50.2272217163031
"709","TFCF",52.0910610935434
"710","TFCF",54.529127358466
"711","TFCF",57.35127943411
"712","TFCF",58.0255729871944
"713","TFCF",60.6667668257143
"715","TFCF",64.8209682354647
"716","TFCF",57.268181382725
"717","TFCF",67.3500967865391
"718","TFCF",73.441874324489
"719","TFCF",66.3489164016305
"721","TFCF",61.8789128282972
"723","TFCF",63.019223908321
"724","TFCF",72.263643899065
"735","TFCF",46.3341346221784
"736","TFCF",50.0514642016469
"750","TFCF",46.694401649391
"751","TFCF",46.3713707442669
"752","TFCF",50.9235584151789
"760","TFCF",52.9166101544688
"761","TFCF",54.8125372012457
"762","TFCF",91.2912196648336
"796","TFCF",82.4841546162279
"797","TFCF",48.6692661695981
"801","TFCF",47.8116294391373
"802","TFCF",43.1587658002778
"804","TFCF",40.7715837265177
"806","TFCF",38.2455756089178
"807","TFCF",38.2370020716169
"808","TFCF",38.4994089130949
"809","TFCF",38.1496172515775
"810","TFCF",39.5526398243446
"811","TFCF",38.2281238830443
"812","TFCF",39.7387465140243
"813","TFCF",37.4279907827507
"814","TFCF",34.2603338142406
"815","TFCF",40.4353878641743
"837","TFCF",38.597878401372
"853","TFCF",38.264193669962
"863","TFCF",37.078199121233
"864","TFCF",34.2828078019829
"865","TFCF",26.4050882157156
"902","TFCF",36.5435932958979
"903","TFCF",33.3894059358748
"904","TFCF",34.8456453701602
"905","TFCF",33.1848073758294
"906","TFCF",31.6233005536833
"908","TFCF",33.6249258302775
"909","TFCF",31.6954401275237
"910","TFCF",34.6611358576147
"911","TFCF",39.0251365498671
"912","TFCF",22.5431748373129
"913","TFCF",23.0575131545752
"914","TFCF",17.3113667001683
"915","TFCF",39.8268668272806
"919","TFCF",44.9547523723235
"920","TFCF",48.2248609464893
"921","TFCF",53.6639572351945
"922","TFCF",41.0850009498434
"923","TFCF",114.552395774776
"AM001S","TFCF",85.7548724929581
"BY1","TFCF",84.4046359397557
"BY3","TFCF",80.6777449483964
"CO1","TFCF",79.84790911882
"CO2","TFCF",81.7884794898138
"CO3","TFCF",79.281111084167
"CQS104","TFCF",76.6869455101143
"CQS53","TFCF",81.9594148540967
"CQS54","TFCF",79.0651232046181
"CQS55","TFCF",86.1501168927219
"CQS56","TFCF",86.6544106862372
"CQS57","TFCF",79.62055357067
"CQS58","TFCF",85.1714104955583
"CQS61","TFCF",78.7685484046194
"CQS62","TFCF",69.630971327938
"CS2","TFCF",62.4846180829774
"CS53","TFCF",35.9391066462907
"DS002S","TFCF",75.5894804656996
"DV2","TFCF",74.1842514132629
"DV3","TFCF",34.9529930470043
"FT52","TFCF",29.4518017082079
"FT53","TFCF",32.620498821211
"FT54","TFCF",32.4416208730687
"FT60","TFCF",79.6384144875888
"GR3","TFCF",79.0309335951952
"GR4","TFCF",57.2142290279837
"GS010E","TFCF",79.4358439466389
"GY1","TFCF",78.6913126481174
"GY2","TFCF",74.9179504249267
"GY3","TFCF",60.1483941211942
"HB2","TFCF",55.8788807998331
"HB52","TFCF",54.5432801902968
"HB6","TFCF",62.7097888023627
"LI001E","TFCF",67.08781613574
"LI001W","TFCF",63.0646027257533
"LI002E","TFCF",66.0848601131201
"LI002W","TFCF",64.0165483665244
"LI003E","TFCF",64.7588731853764
"LI003W","TFCF",65.1512278821319
"LI004E","TFCF",64.0643121242147
"LI004W","TFCF",66.1438347297359
"LI005E","TFCF",63.1648478517415
"LI005W","TFCF",66.5746441536564
"LI006E","TFCF",67.5504085779272
"LI006W","TFCF",67.344896064081
"LI007E","TFCF",67.4244428400362
"LI007W","TFCF",67.8574587436301
"LI008E","TFCF",69.3005332206976
"LI010E","TFCF",69.7783709090808
"LI010W","TFCF",91.2392953292249
"LNR101","TFCF",94.4169968214796
"LNR102","TFCF",100.553165302283
"LNR53","TFCF",40.6067324194977
"LP003E","TFCF",49.142512438069
"LSJ10","TFCF",47.4129076847507
"LSJ101","TFCF",44.7981699513559
"LSJ13","TFCF",34.9558088292116
"LSJ59","TFCF",43.3136987742307
"LSJ61","TFCF",40.0712649102565
"LSJ62","TFCF",45.5616239621929
"LSJ67","TFCF",47.4392375991868
"LSR1","TFCF",47.437335770788
"LSR2","TFCF",51.685846090851
"LSR3","TFCF",50.267021239242
"LSR4","TFCF",26.4943748641509
"MI104","TFCF",39.7569337331171
"MK004W","TFCF",18.7022644602106
"MR010W","TFCF",45.3005619164671
"MS001N","TFCF",55.8960801443274
"MZ1","TFCF",58.404510345371
"MZ2","TFCF",68.2683575806569
"MZ6","TFCF",68.4907125178389
"MZ7","TFCF",68.9336467544886
"MZ8","TFCF",71.3578125689688
"NS2","TFCF",69.6428437593153
"NS3","TFCF",1.18568989745738
"OR023E","TFCF",34.1135435356335
"PP1","TFCF",35.9914095540022
"PP105","TFCF",36.164834398316
"PP12","TFCF",34.8281936442887
"PP14","TFCF",32.4160264518511
"PP20","TFCF",35.3182823360952
"PP21","TFCF",34.1803561963274
"PP23","TFCF",33.0235073442439
"PP27","TFCF",33.0699263061754
"PP52","TFCF",36.7887268720895
"PP56","TFCF",34.8185799624984
"PP61","TFCF",35.5984455547118
"PP9","TFCF",84.2054904835426
"PT2","TFCF",47.4871275475589
"RV1","TFCF",72.7661837057811
"SB001M","TFCF",72.6312135886348
"SB001S","TFCF",54.5132728097433
"SB018M","TFCF",54.6064153848753
"SB018N","TFCF",54.3683843595379
"SB018S","TFCF",54.5347066529953
"SB018X","TFCF",82.5726318506813
"SB1","TFCF",81.7988286648291
"SB2","TFCF",65.5008410830883
"SBM103","TFCF",70.7127386333234
"SBM14","TFCF",65.861717412844
"SBM2","TFCF",68.1086547262105
"SBM4","TFCF",63.0625224367931
"SBM53","TFCF",67.2891158017543
"SBM58","TFCF",70.93790935271
"SBM59","TFCF",66.9581206618654
"SBM6","TFCF",67.5965228886173
"SBM62","TFCF",62.8521138517577
"SBM7","TFCF",71.4464899148752
"SBM8","TFCF",70.8036224588914
"SBW103","TFCF",72.5866964551046
"SBW108","TFCF",71.6945131940649
"SBW52","TFCF",69.6816247886552
"SBW53","TFCF",70.2051459457526
"SBW56","TFCF",68.8381931599043
"SBW57","TFCF",73.4892811610498
"SBW58","TFCF",69.9177539855912
"SBW61","TFCF",75.453365664279
"SBW62","TFCF",72.9864583539821
"SBW63","TFCF",74.3044810469611
"SBW64","TFCF",56.7185087717701
"SF014E","TFCF",42.4816564649855
"SJ001S","TFCF",39.1939699742576
"SJ005N","TFCF",33.5171473114767
"SJ026S","TFCF",31.312089810026
"SJ032S","TFCF",41.8843985569189
"SJ041N","TFCF",28.9918465876568
"SJ051E","TFCF",25.3623326701808
"SJ054M","TFCF",28.9226489867141
"SJ056E","TFCF",30.8985536514026
"SJ058W","TFCF",38.4640746194005
"SJT10","TFCF",38.7942080753798
"SJT109","TFCF",40.428589964581
"SJT11","TFCF",37.885865614337
"SJT111","TFCF",38.6760803815675
"SJT13","TFCF",39.43806340596
"SJT14","TFCF",37.8644317710844
"SJT15","TFCF",37.4418912331932
"SJT16","TFCF",39.7025505364222
"SJT17","TFCF",38.520842756347
"SJT18","TFCF",39.0872315999506
"SJT2","TFCF",37.0053240541787
"SJT20","TFCF",37.7748404713802
"SJT21","TFCF",38.949571891284
"SJT4","TFCF",38.6485841319511
"SJT51","TFCF",38.7863700313017
"SJT52","TFCF",38.3719721887583
"SJT59","TFCF",39.5223277925234
"SJT60","TFCF",38.1796246321309
"SJT64","TFCF",37.2940608100988
"SJT66","TFCF",37.6834735339615
"SJT68","TFCF",40.2968664715986
"SJT8","TFCF",37.9690898564057
"SJT9","TFCF",77.4419305234332
"SM1","TFCF",76.799115337344
"SM3","TFCF",70.9380878132845
"SM51","TFCF",88.1403528498085
"SPE101","TFCF",48.7437906836719
"SR012E","TFCF",49.1225495812501
"SR012W","TFCF",55.5328188743083
"SR014W","TFCF",59.3483132907839
"SR017E","TFCF",62.3746330845188
"SR024E","TFCF",74.8523563692901
"SR036W","TFCF",80.3378716199289
"SR043W","TFCF",96.6025006571687
"SR049E","TFCF",105.858867000061
"SR055M","TFCF",105.174655113914
"SR055W","TFCF",105.95880747478
"SR055X","TFCF",109.426285867448
"SR057E","TFCF",114.733354011898
"SR060E","TFCF",117.762184936568
"SR062E","TFCF",131.073116865761
"SR071E","TFCF",68.7739961699223
"SR080E","TFCF",91.3765241958881
"SS011N","TFCF",89.8720901619572
"SSC1","TFCF",82.7578245865556
"SSC51","TFCF",82.8303210815565
"SU1","TFCF",75.3555577484349
"SU2","TFCF",73.2971643348979
"SU3","TFCF",82.069378201656
"SU4","TFCF",43.5984534127601
"SU6","TFCF",82.4921711209246
"TM001N","TFCF",82.078508771605
"WL1","TFCF",58.7040271182501
"WL2","TFCF",62.3203760785065
"XC001N","TFCF",62.9716386112095
